Nome,Telefone,Endereço,Convênio,CPF,Nascimento
Mariane Moura,+55 (041) 5644 6280,"Chácara das Neves, 925
Boa União 1ª Seção
49166460 Nunes de Campos / BA",Plano CCC,319.164.751-77,04/29/2009
Dr. Marcelo Moreira,+55 81 2364-5450,"Largo Moreira
Vila Olhos D'água
36094641 Campos / MG",Particular,193.592.847-73,01/18/1991
Dra. Elisa Carvalho,+55 81 6769-1211,"Loteamento João Miguel Martins, 11
Conjunto Jardim Filadélfia
07184-017 Ribeiro das Pedras / AP",Plano BBB,943.850.115-97,10/26/2017
Dra. Ana Clara Cavalcanti,+55 11 0517-7989,"Estação Pereira, 86
Maria Goretti
68800-108 Pinto / RO",Particular,542.623.657-75,01/24/2007
Dr. Luigi Moura,71 6873-2706,"Recanto de Silveira, 13
Pousada Santo Antonio
05854000 Costa / AC",Plano CCC,894.279.732-52,04/14/2005
Isadora Nascimento,+55 (011) 0934 4441,"Setor Lima, 19
Paulo Vi
05183-754 Ramos / BA",Plano CCC,675.566.850-83,04/17/1995
Renan Melo,+55 (084) 4941-1265,"Alameda Luiz Henrique Gonçalves, 45
Brasil Industrial
24573-590 Dias do Galho / RS",Plano CCC,964.942.107-24,02/19/1998
Sr. Vitor Duarte,+55 (031) 7300 5336,"Avenida Oliveira
Olhos D'água
12020-498 Aragão / RS",Plano EEE,810.656.740-79,11/13/2019
Dr. Lorenzo da Rocha,+55 (011) 9184 5245,"Viaduto Viana
Vila São Gabriel
42396-774 Fernandes / RO",Particular,954.910.303-90,03/16/2008
Bianca da Costa,+55 71 8870 9052,"Lagoa Breno Freitas, 13
Vila São Gabriel Jacui
89666311 Silva / RO",Plano EEE,261.207.748-15,11/21/2008
Ana Laura Teixeira,21 0030 2715,"Via Vieira, 18
Novo Glória
74464-576 Fogaça / AC",Plano AAA,170.614.668-90,11/28/1999
Sr. Leonardo Nunes,(071) 7701 5557,"Estação de Aragão, 30
Conjunto Bonsucesso
27770-122 Novaes do Galho / CE",Plano AAA,472.429.594-94,09/07/2006
Dra. Juliana Cunha,11 3317 2872,"Jardim de da Paz, 4
Vila Ipiranga
86553-323 Gonçalves de Minas / AP",Plano CCC,200.681.627-28,11/01/2015
Pedro Henrique Fogaça,(081) 8476 9914,"Trevo Sarah Rezende
Vila Jardim São José
85527423 Nunes do Amparo / AL",Plano EEE,610.795.489-67,11/24/2006
Augusto Azevedo,51 252 2818,"Estação de Moraes, 371
Conjunto São Francisco De Assis
67018988 Campos / PR",Plano CCC,374.308.385-40,07/17/1999
Sr. João Miguel Melo,11 4577 4206,"Passarela de Nascimento
Concórdia
35763168 Nascimento de Novaes / MT",Plano DDD,328.782.732-69,05/13/2016
Sra. Letícia Peixoto,11 0119-7802,"Campo de Pereira, 72
Madri
21608419 Freitas do Galho / RO",Plano DDD,997.694.601-66,03/13/1996
Rodrigo Vieira,+55 84 9817 8801,"Loteamento Jesus, 94
São Gonçalo
29826-222 Freitas das Flores / SE",Particular,760.572.422-90,03/03/1999
Ana Sophia Oliveira,(081) 5685 0537,"Ladeira Marcela Novaes, 640
Vila Jardim São José
26618-068 Rodrigues de Rodrigues / SC",Plano AAA,781.472.952-30,01/20/2005
Nicole Cardoso,+55 84 4206 2176,"Morro de Fernandes, 7
Alto Vera Cruz
95977194 das Neves do Norte / SP",Plano DDD,125.496.268-65,02/27/2008
Dra. Carolina Pinto,(061) 8726 6250,"Alameda Cardoso, 1
Bela Vitoria
87558130 Vieira Verde / ES",Particular,943.350.582-23,05/27/2005
Rodrigo Araújo,31 3610-6508,"Esplanada Rezende, 4
Vila Bandeirantes
39160-198 Pires / AP",Plano AAA,293-386-798-74,02/12/2016
Maitê Vieira,81 8321 9527,"Rua de Moura, 67
Vila Olhos D'água
27325-689 Aragão de Minas / PR",Plano EEE,477.666.973-85,02/19/1991
Juan Rezende,41 2375-4575,"Conjunto Matheus Araújo, 25
Vila Santo Antônio Barroquinha
26216-210 Farias / PI",Plano AAA,571.733.525-44,09/23/1997
Lucas Caldeira,+55 51 877 9958,"Passarela de da Luz, 56
Conjunto Novo Dom Bosco
17389-475 da Cunha do Campo / MS",Plano CCC,636.805.620-51,04/04/2009
Lucas da Mata,(081) 0940-6052,"Morro Costa, 9
Lagoinha Leblon
13014485 Cunha / PR",Particular,216.960.864-84,01/14/2015
Sra. Valentina Carvalho,(051) 9416-0360,"Favela Oliveira, 815
Santana Do Cafezal
88888757 Freitas / RN",Plano CCC,262.826.661-95,07/24/1992
Matheus Barros,11 0616 9278,"Vila Barbosa, 688
Floramar
11372198 Lima / RS",Plano DDD,649.985.586-64,07/26/2007
Isadora Moreira,+55 (081) 6598 3677,"Lagoa de Cardoso, 25
Primeiro De Maio
19469-884 da Cruz / AM",Plano EEE,234.236.484-94,11/01/2017
João Felipe Moreira,+55 84 5743-9024,"Recanto Ana Clara Silveira, 6
Bonfim
82725-301 da Cruz do Norte / PA",Plano CCC,441.383.988-75,05/20/1994
Luana Cardoso,+55 71 8778-0191,"Parque Mariane Jesus
Ouro Preto
11547565 Silva do Norte / MS",Plano DDD,181.660.499-87,06/29/1995
Clara da Costa,+55 (071) 0751-2887,"Praça Sales, 94
Nossa Senhora Aparecida
29945-550 Nunes / SC",Particular,897.168.572-23,09/07/2005
Pedro Novaes,+55 61 9847-5804,"Trevo de Silva, 86
Ouro Minas
05711-347 Monteiro / RN",Plano BBB,114-624-276-62,01/02/2003
Thomas Cunha,41 3550-1903,"Esplanada Fernanda Viana, 799
Fernão Dias
35163726 Freitas / MA",Plano BBB,320.385.615-63,03/24/2019
Maria Eduarda Cardoso,+55 (041) 6976-9475,"Sítio de Lopes, 1
Bernadete
22620127 Silveira do Norte / SP",Plano AAA,121.810.585-45,03/21/2011
Lívia Freitas,84 6969 4059,"Condomínio da Cruz, 5
Inconfidência
54756-297 Moraes de Freitas / AC",Plano AAA,565.987.943-97,01/02/2003
Enrico Pereira,84 0290-9123,"Passarela de Moura, 2
Palmares
32973191 Fernandes / DF",Plano BBB,522-120-838-66,07/21/1997
Dra. Ana Sophia Santos,+55 31 8133 5738,"Aeroporto João Felipe Dias, 44
São Luiz
92791675 das Neves / RS",Plano EEE,971.119.967-54,03/24/1993
Dra. Marina Pires,(051) 2782-2236,"Esplanada Heitor Cardoso, 73
Senhor Dos Passos
22870-322 Vieira de da Luz / MA",Plano DDD,706.114.803-39,01/22/2020
Melissa Moura,+55 (011) 0588-0641,"Rua Rocha, 85
Ventosa
95945309 Azevedo / SP",Plano DDD,441.603.830-70,11/25/1992
Amanda Jesus,(061) 7144 6087,"Núcleo Melo, 95
Ernesto Nascimento
56301-928 da Rocha de Goiás / AL",Particular,117.890.408-15,10/02/1994
Miguel Duarte,+55 81 9618-3396,"Condomínio da Mota, 210
Belvedere
02722572 Porto Alegre / CE",Particular,267.598.199-32,02/27/1993
Srta. Maria Sophia Correia,+55 21 5347-9974,"Feira Vinicius Aragão, 241
Ventosa
42146966 Farias Verde / MS",Plano EEE,766.577.815-30,10/23/2018
Carlos Eduardo da Cunha,+55 84 0942-5725,"Núcleo de da Luz, 381
Sion
39786-081 Almeida / PI",Plano EEE,283.269.743-58,08/11/2009
Maria Sophia da Mota,+55 (051) 1219-6899,"Praia Lavínia Castro, 66
Vila São Francisco
00584-165 Pires / PE",Plano DDD,906.129.311-31,01/22/2015
Bruno Moreira,+55 51 358 7686,"Residencial de Cunha, 38
Conjunto Califórnia I
72293-141 Sales / SC",Plano EEE,684.865.515-21,11/30/2003
João Vitor Rezende,+55 (071) 3601-0335,"Distrito Moreira, 6
Providencia
12912914 Lopes / CE",Plano EEE,569.287.852-23,04/08/1996
Emanuella da Cunha,(061) 8448 8606,"Vila de Almeida, 57
Vila Aeroporto
03577018 Mendes / DF",Plano DDD,137.758.879-82,01/15/1992
Emanuella Silveira,(051) 5812 8582,"Trevo de da Conceição, 38
Conjunto Providencia
29984-122 Gomes / PA",Plano DDD,281.361.863-57,10/14/2011
Emanuella Pereira,+55 (021) 9218 0873,"Morro Olivia Aragão, 10
Dom Bosco
75958958 Moreira / ES",Plano DDD,672-845-800-37,09/27/2009
Bárbara Castro,+55 (084) 9284 7511,"Área Stephany Ramos, 4
Planalto
76163015 da Mota / MG",Plano CCC,509.530.223-48,09/14/1995
Leandro Cardoso,+55 (011) 9687-2402,"Recanto Almeida, 49
Maria Helena
60384685 Silva / MS",Plano DDD,321.894.890-83,12/11/2013
Igor Lima,+55 (051) 2630 8710,"Rodovia de Pinto, 43
Palmares
68181-207 Jesus dos Dourados / PI",Plano EEE,613.837.193-12,07/12/1993
Sra. Bárbara Barros,(071) 8575 1381,"Praça Jesus, 33
Cidade Nova
27872-270 Moura / BA",Plano CCC,481.253.466-32,10/24/2015
Caio Azevedo,11 7422 4394,"Campo Cunha, 66
Vila Boa Vista
34542-939 Pereira / AC",Particular,145.202.541-22,03/09/2020
Raquel Viana,(084) 0778-4966,"Morro de Dias
Mantiqueira
19752077 Oliveira / ES",Plano BBB,628.770.943-24,05/02/2001
Alícia Jesus,+55 (051) 2659 9970,"Colônia Barbosa, 83
São Bento
93963161 Jesus da Mata / TO",Plano EEE,109.124.231-30,03/05/2007
Sra. Agatha Azevedo,(051) 3794-9787,"Via Barros, 61
Vila Jardim Alvorada
32732-903 Dias de Moreira / PA",Plano AAA,549.980.891-47,01/05/1994
Clarice Vieira,41 8718 7576,"Jardim Pedro Lucas Costa, 327
Vila Piratininga Venda Nova
87401-064 Farias / BA",Plano AAA,941.249.800-61,01/22/2011
Emanuella Vieira,11 5925 5406,"Favela de Viana, 40
Pousada Santo Antonio
29630-505 Barbosa / CE",Particular,969.850.758-51,06/17/2018
Amanda Pires,+55 (084) 6406 8927,"Vereda de Alves, 90
Petropolis
04452881 Moura / SP",Particular,596.483.399-45,05/16/2003
Matheus Moreira,+55 31 4448 8262,"Esplanada de Caldeira, 45
Xodo-Marize
84023-995 Lopes de Porto / AM",Plano BBB,644.701.827-87,04/09/1997
Sr. Luiz Otávio Nogueira,+55 21 2233 3897,"Residencial de Teixeira, 757
Vila São Francisco
38556-217 Viana / SE",Plano DDD,159.191.817-18,12/08/2011
Arthur Ramos,,"Sítio de Cardoso, 76
Camponesa 2ª Seção
16529-442 da Luz / CE",Plano AAA,828.914.451-43,01/04/2000
Ana Júlia da Conceição,+55 84 7220 4473,"Via Rodrigo Aragão, 29
Nova Cachoeirinha
11406-745 Nunes Paulista / DF",Plano BBB,498.689.666-13,05/15/1998
Mariana Costela,+55 (041) 4616 9953,"Estação de Aragão, 60
Santa Tereza
08398-217 Barros da Prata / MS",Particular,107.710.446-43,04/25/2017
Juan Rocha,+55 (011) 1092 1400,"Parque de Santos, 1
Conjunto Celso Machado
01608-289 Cardoso de Silva / SP",Plano DDD,936.459.690-58,06/11/1993
Lucca Rezende,+55 (011) 2461 2691,"Trecho de Cavalcanti, 300
Vila De Sá
02810-652 da Costa Paulista / SE",Plano BBB,682.236.527-89,06/23/2000
Srta. Olivia da Mota,+55 11 8897 9138,"Estrada Yago Freitas, 59
Ernesto Nascimento
56954-217 Correia / PR",Plano CCC,974.390.677-83,10/15/1993
Joaquim Porto,(061) 7563-0121,"Travessa da Luz, 872
Indaiá
29014-272 da Mota / PB",Plano DDD,117.914.826-56,02/27/2008
Pedro Henrique Cavalcanti,+55 (011) 1025-6924,"Chácara Pires, 909
Europa
39622942 Nascimento / PA",Plano EEE,817.559.842-89,06/07/2013
Enzo da Cunha,+55 71 8713-4953,"Morro de Jesus, 55
Vila Independencia 1ª Seção
08149-263 da Conceição / DF",Plano DDD,194.494.575-96,03/07/2005
Luiz Fernando Duarte,(081) 0945 9397,"Estrada Isabelly Dias, 38
Sion
33507-197 Santos / SP",Plano DDD,457.507.485-67,06/11/2009
Dra. Esther da Cunha,61 8841 0606,"Fazenda de da Costa, 3
Vila Aeroporto Jaraguá
59868-128 Caldeira dos Dourados / RS",Particular,402.382.503-15,05/05/1996
Bruno Santos,21 2296 2168,"Avenida de Jesus, 97
Europa
48553-548 Campos de Lopes / BA",Plano DDD,265-307-122-38,02/24/2007
Pietra Ramos,+55 51 987 4925,"Colônia Vieira, 65
Santa Sofia
67085205 Cardoso / AP",Plano BBB,224.329.138-75,04/21/2017
Sr. Eduardo da Conceição,11 6716-5664,"Feira Luiz Miguel Costa, 55
Vila Real 2ª Seção
61830-850 da Costa / PE",,166.813.448-18,09/07/2016
Dr. Theo Jesus,(061) 4907 3999,"Residencial de Novaes, 53
Eymard
27622472 da Rosa / RS",Plano DDD,996.934.781-71,09/28/2000
Lucca Fogaça,(084) 2303-0249,"Vale Maysa da Luz, 469
Vila Da Paz
99241-526 Costa / BA",Particular,681.350.729-83,12/06/1999
Sr. Benício Almeida,+55 41 6600 3049,"Estação de da Costa, 85
Unidas
07826303 Castro / RO",Particular,623.957.905-18,10/30/1998
Benício Carvalho,(071) 8288 0479,"Largo de da Luz
Serra Verde
69885335 Gomes / RS",Plano AAA,144.359.630-50,08/21/2005
Nicole Viana,31 9213 8017,"Vereda Raul Nascimento, 167
Nova Suíça
55933-731 Ramos / RO",Plano EEE,595.405.309-91,03/26/2015
Elisa Cunha,(051) 0938 6161,"Colônia Luna Cardoso, 21
Vila Califórnia
34770273 Monteiro / RS",Particular,616.646.932-72,04/20/1998
Luiza Teixeira,+55 (041) 0208-1011,"Parque da Rosa
Mala E Cuia
74696022 da Costa / AC",Plano AAA,237.602.896-31,02/27/2005
Sra. Ana Sophia Rodrigues,+55 (051) 5097-9119,"Chácara Júlia Ferreira, 12
Aeroporto
34523-692 Pereira / RJ",Plano AAA,684.124.730-47,04/10/2017
Ana Sophia Nogueira,+55 (011) 0894 6622,,Plano EEE,635.341.469-61,09/06/2015
Leonardo Ramos,(051) 5793 4825,"Jardim de Santos, 624
São Bernardo
85794-022 da Paz / RN",Plano AAA,440.567.428-52,02/28/2003
Gabriel Vieira,+55 21 9920 2442,"Colônia Rezende, 38
Marieta 3ª Seção
46501253 Moraes / GO",Plano EEE,146.327.390-56,04/06/2011
Fernando Duarte,84 4000 2506,"Chácara da Cruz, 40
Estrela Do Oriente
33600833 Rocha da Praia / SP",Particular,996.852.964-18,12/20/2000
Lucas Moura,41 3111 0005,"Chácara Pereira, 131
Mala E Cuia
15649349 Araújo / TO",Plano AAA,457.715.670-55,03/16/2014
Luna Moreira,+55 51 097 2157,"Pátio Fernanda da Mota, 711
Jardim Alvorada
10575-973 Sales / AM",Plano BBB,633.256.283-28,09/09/2012
Luiz Gustavo Ferreira,(041) 5656-9437,"Vila Melo, 35
Maria Virgínia
46434-750 Castro dos Dourados / MS",Plano BBB,138.140.572-64,01/23/1996
Sr. Augusto Fogaça,(011) 8923 8941,"Rodovia Lima, 562
Novo Glória
72109819 Araújo da Serra / PA",Particular,563.395.299-51,05/01/2010
Otávio Alves,(051) 9631-3522,"Condomínio Vitor Hugo Farias
São Bento
67271075 Fernandes de Costa / PI",Plano BBB,877.311.907-94,12/16/1991
Marcelo Vieira,51 733 9270,"Aeroporto Anthony da Rocha
Maria Virgínia
35336-513 Cunha da Prata / DF",Particular,626.650.647-81,09/13/2006
Maria Vitória da Rocha,+55 71 5078-7711,"Parque Santos, 32
Luxemburgo
36993-162 Teixeira / PI",Plano AAA,871.968.610-42,11/27/2000
Luiz Felipe da Cunha,+55 21 3986-8406,"Conjunto da Rocha, 711
Aparecida 7ª Seção
85241738 Ferreira / RO",Plano BBB,172.229.714-68,11-22-1990
Emanuel Sales,+55 81 9987 2404,"Morro de Mendes, 119
Barão Homem De Melo 2ª Seção
20907488 Mendes / PA",Plano EEE,412.577.797-93,03/27/2012
Augusto Novaes,+55 (011) 9422-0924,"Campo Melissa Costela, 86
Vila São Paulo
22412223 da Rocha de da Cruz / AL",Plano DDD,678.788.102-91,11/25/2001
Lucas Gabriel Pereira,81 0495 6920,"Lago Almeida, 554
Serrano
29826164 Dias / AL",Plano AAA,447.119.532-42,11/27/2006
Dra. Maria Vieira,31 6348-5459,"Núcleo de Rodrigues, 67
Nossa Senhora Da Aparecida
55084-061 Costa / SC",Particular,814.502.764-57,06/23/2007
Rodrigo Nascimento,(061) 2900 4511,"Vereda Vicente Silveira, 174
Barão Homem De Melo 2ª Seção
92281449 Barros de Nogueira / RO",Particular,505.689.598-41,10/12/2019
Mirella Silveira,31 7277 0593,"Estrada Freitas, 74
Vila Canto Do Sabiá
19474349 da Cunha / RN",Plano BBB,959.243.166-44,03/12/2011
Sophia Mendes,(031) 8519-5240,"Estação Brenda Dias, 83
Olhos D'água
89298764 Rodrigues de Rezende / DF",Plano CCC,494.836.184-84,07/11/1997
Sabrina Moura,+55 (051) 4947 2395,"Avenida João Lucas Cardoso, 74
Ambrosina
75977712 da Conceição Alegre / RS",Plano CCC,806.817.259-91,01/10/2017
Carolina Castro,+55 (031) 9513 7630,"Esplanada Santos, 33
Santa Branca
05055-418 Ferreira da Praia / TO",Particular,653.489.957-82,12/15/1990
Dra. Yasmin Campos,+55 (031) 4611-0817,"Fazenda de Carvalho
Novo São Lucas
83010051 da Rosa / BA",Plano CCC,723.458.667-31,06/22/2015
Maitê Aragão,+55 (041) 1771 0169,"Viela Araújo, 496
Alípio De Melo
89094419 das Neves das Flores / AM",Plano EEE,574.678.471-33,06/17/2012
Isabel Teixeira,+55 81 5470 9051,"Lagoa Castro, 825
Santo Agostinho
24932977 Martins do Norte / DF",Plano EEE,,07/31/2001
Sr. Francisco Monteiro,11 9604-3298,"Área de Martins, 8
Vila São Geraldo
68353-020 Santos / AL",Plano AAA,623.712.626-46,01/28/1993
Theo Fernandes,(071) 6095-5852,"Pátio de Mendes, 46
Andiroba
67913-357 Barbosa dos Dourados / AP",Plano AAA,938.848.536-11,07/02/2014
Lucca Monteiro,+55 21 8862 3186,"Praia Breno Martins, 3
Nova America
00322145 Rezende de Souza / AM",Plano BBB,852.172.144-26,04/16/2018
Dr. Nicolas Carvalho,21 3469-1729,"Trevo Cunha, 4
Capitão Eduardo
79439618 da Mata do Amparo / SC",Plano EEE,640.567.689-54,08/12/2015
Maria Eduarda Azevedo,+55 84 6634 8436,"Praia de Rezende, 82
Vila Das Oliveiras
11561-564 Gomes da Serra / RJ",Particular,801.889.448-54,12/28/2004
Calebe Pereira,(081) 3836 4267,"Favela de das Neves, 21
Lagoa
09466462 Gonçalves Paulista / BA",Plano EEE,866.132.869-69,09/06/1996
Dr. Vitor Viana,61 5533-3657,"Praia de Carvalho, 69
Vila Nova Gameleira 1ª Seção
29910362 Sales de Peixoto / AC",Plano EEE,285.186.154-94,03/15/2004
Sr. Breno Ramos,+55 81 0617-4870,"Alameda Davi Vieira, 4
Dona Clara
06649-426 da Mata / PB",Plano AAA,178-953-107-94,06/22/2006
Emanuelly da Mata,+55 41 9535-0168,"Largo Giovanna Mendes, 66
Marçola
36365203 da Cruz do Campo / RN",Plano AAA,116.467.252-94,12/05/2003
Sra. Sarah Lopes,84 4447-7619,"Residencial Gustavo Henrique Mendes, 51
São Tomaz
74552005 Costela / MA",Plano CCC,966.744.885-34,08/13/2015
Joana Duarte,+55 31 8773 8235,"Sítio da Conceição, 77
Vila Do Pombal
41491-351 da Paz / ES",Plano BBB,980.613.434-45,06/02/2016
Nicolas da Mota,(021) 0786 7087,,Plano AAA,567.158.831-89,10/16/1993
Igor Campos,+55 (051) 1798-2349,"Aeroporto Fernanda Caldeira
Manacas
19360775 Araújo / GO",Plano AAA,685.992.898-66,10/24/2009
Júlia Moura,(031) 6053 5640,"Estrada Murilo da Cruz, 81
Serra
03684274 Gomes / TO",Plano CCC,511.311.577-43,02/04/2020
Sofia Rodrigues,(061) 5357 1380,"Vale de Farias
Camponesa 2ª Seção
87992-695 Melo / MT",Plano EEE,760.225.126-19,01/05/2009
Dra. Bárbara da Rocha,(084) 8095 8168,"Viela Dias, 62
Cidade Nova
48877206 Vieira / GO",Plano EEE,140.673.540-82,05/28/2004
Yago Martins,(071) 3506-6169,"Rodovia Gonçalves, 94
Vila Rica
86516461 Silva do Amparo / RJ",Particular,566.103.898-81,02/09/2017
Laura Nascimento,+55 (071) 5646-0085,"Parque Benjamin Rocha, 6
Vila Antena
94440-194 Sales / AL",Plano CCC,102.581.593-63,08/05/2013
Lorenzo Castro,+55 (041) 5797-4545,"Esplanada de Barros
Xodo-Marize
18462138 Farias Grande / MA",Plano BBB,210.306.225-64,10/21/2001
Júlia Silveira,+55 (081) 1593-5850,"Lagoa João Pedro Silva, 100
Bonfim
94370-312 Alves / AM",Plano AAA,516.723.382-81,01/04/2010
Nicole Novaes,(041) 3830 3553,"Ladeira Olivia Viana, 964
Sport Club
17424347 Gomes do Sul / PI",Particular,107.593.229-14,02/07/1999
Luiza Rezende,+55 41 1962-0263,"Ladeira Vitória Lopes, 20
Aguas Claras
27917065 Silva Paulista / RJ",Particular,132.292.911-78,10/29/2002
Sra. Natália Moura,+55 (081) 9333 9740,"Residencial Breno Carvalho
Novo Aarão Reis
32616412 Vieira das Flores / PI",Particular,480.599.119-25,06/19/1991
Ana Vitória Teixeira,31 9661 0386,"Feira de Costela, 477
Estoril
16606-885 Porto de Santos / GO",Plano DDD,724.606.193-42,05/13/1995
Camila Mendes,(051) 9009-2824,"Área Ribeiro, 33
São Bernardo
04014454 Moura / AC",Plano EEE,144.695.673-62,07/02/1995
Bruna Vieira,(061) 9696 3947,"Lago Rebeca Barbosa, 41
Vila Copacabana
16065434 Correia Paulista / GO",Plano BBB,762.115.743-29,09/10/2011
Mirella Carvalho,+55 81 8830-3718,"Esplanada de Barbosa, 64
Nova Pampulha
57479247 da Paz de Farias / MT",Plano CCC,592.652.522-43,07/25/2004
Luiz Henrique Costela,+55 (084) 9157-7489,"Rodovia Rodrigo da Mota
Vila Antena Montanhês
94860324 Araújo / PI",Plano EEE,899.459.482-56,11/14/1998
Alice Peixoto,+55 51 261 6691,"Ladeira Peixoto, 4
Nova Pampulha
26825-262 Sales / BA",Plano EEE,644.626.321-93,06/05/2000
Sofia Rodrigues,+55 (031) 3276 4115,"Ladeira de da Luz
Boa Esperança
62942-731 da Luz do Campo / MG",Plano DDD,312.802.801-75,11/11/1991
Rafael Barbosa,(071) 0026 9655,"Ladeira Mendes, 47
São Jorge 2ª Seção
26344884 Barros do Galho / CE",Plano DDD,955.869.556-41,10/10/2000
João Vitor da Cruz,71 2014 1900,"Sítio de Araújo, 73
Vila Olhos D'água
74387-139 Melo / BA",Plano DDD,557.553.870-16,11/07/1991
Ana Laura Campos,51 058 7572,"Quadra Porto, 1
Santa Terezinha
98716462 Alves / DF",Plano DDD,631.550.695-18,08/10/2012
Mariana Peixoto,(071) 2032 9176,"Passarela Nascimento, 636
Nova Gameleira
83869169 Melo da Praia / PB",Particular,285.801.991-12,05/05/2011
Gabrielly Cardoso,+55 (061) 3335-1509,"Condomínio Rocha, 39
Beija Flor
96260-486 Barbosa de Almeida / DF",Plano EEE,403.965.943-85,12/26/2002
Beatriz Fernandes,+55 (031) 1704 2422,"Pátio de Rezende, 52
Vila Vista Alegre
69956-303 Melo do Galho / SP",Plano CCC,412.213.542-96,11/06/2010
Dr. Luigi Vieira,+55 (031) 3287 3297,"Rua Mendes, 75
Boa União 1ª Seção
79527334 Aragão / RO",Plano EEE,636.327.562-92,08/22/2002
Isis da Paz,84 7316 2046,"Via Isaac Freitas, 26
Alto Barroca
94560856 Peixoto dos Dourados / ES",Plano AAA,938.188.145-36,04/13/1993
Fernanda Jesus,21 0798 7845,"Feira Maysa Ramos, 9
Acaiaca
23224-832 Nascimento do Norte / MG",Plano DDD,592.429.502-97,11/12/1994
Beatriz Teixeira,31 4434 0237,"Parque Enrico Pereira
Varzea Da Palma
99509-265 Rezende / SE",Plano EEE,124.708.552-43,01/13/2001
Ana da Paz,11 4020-8892,"Praia Oliveira, 96
Savassi
37044-956 Novaes do Amparo / AL",Plano DDD,388.457.241-26,09/26/2002
Alice Nogueira,(081) 8906 3622,"Morro de Costa, 85
Canadá
41010-209 Melo / PE",Plano DDD,916.670.473-37,04-16-2003
Gabriela Ferreira,(084) 3191-1852,"Vale da Conceição
Vila Pinho
66150-345 Monteiro / RN",Plano DDD,228.595.514-58,01/04/2015
Sarah Santos,11 4484 6815,"Sítio Viana, 76
Outro
01590-911 Barros / PI",Plano DDD,294.902.702-84,05/20/2002
João Azevedo,+55 (041) 1380 0593,"Vereda Almeida, 6
Conjunto Minas Caixa
71066559 Souza / PE",Plano DDD,204.266.235-57,09/08/1996
Yuri Ribeiro,+55 (011) 6358-0430,"Área da Rosa, 16
Gameleira
23362-382 da Rosa da Mata / AP",Plano EEE,584.841.470-12,09/06/2010
Marcela Dias,+55 81 1477 4164,"Residencial de Barros, 99
Santa Helena
23334060 Lima / PI",Plano AAA,461.283.143-42,02/15/2007
Ana Lívia Cardoso,(041) 0082 0549,"Via Farias, 580
Vila Havaí
33995-467 Santos / SE",Plano AAA,413.577.930-18,12/22/2004
Sarah da Rocha,(084) 3869 5134,"Pátio Ferreira, 485
Vista Alegre
31826428 da Cruz de Moraes / AP",Plano EEE,322.532.559-62,05/18/2001
Dr. Lucca Carvalho,(021) 7335 8110,"Trecho Viana, 33
Lorena
65604111 Caldeira / RN",Plano AAA,783.591.156-78,10/31/2019
Leandro Farias,+55 (041) 0658 3500,"Pátio Moura, 17
Vila Boa Vista
86213-103 Fogaça / BA",Plano DDD,591.111.554-10,01-03-2008
Joana Pinto,(051) 8347-5526,"Vereda Nogueira, 96
São Paulo
99106-552 Cunha do Amparo / SC",Plano BBB,681.569.230-54,06/24/2011
